"date","zip_code","psps_abs","psps_hybrid"
2019-10-09,93388,1,1
2019-10-09,93389,1,1
2019-10-09,93390,1,1
2019-10-09,93308,1,1
2019-10-09,93311,1,1
2019-10-09,93313,1,1
2019-10-09,93510,1,1
2019-10-09,93551,1,1
2019-10-09,93561,1,1
2019-10-09,93581,1,1
2019-10-09,93907,1,1
2019-10-09,94018,1,1
2019-10-09,94019,1,1
2019-10-09,94020,1,1
2019-10-09,94021,1,1
2019-10-09,94022,1,1
2019-10-09,94023,1,1
2019-10-09,94024,1,1
2019-10-09,94025,1,1
2019-10-09,94027,1,1
2019-10-09,94028,1,1
2019-10-09,94037,1,1
2019-10-09,94038,1,1
2019-10-09,94044,1,1
2019-10-09,94060,1,1
2019-10-09,94026,1,1
2019-10-09,94062,1,1
2019-10-09,94064,1,1
2019-10-09,94074,1,1
2019-10-09,94087,1,1
2019-10-09,94088,1,1
2019-10-09,94304,1,1
2019-10-09,94305,1,1
2019-10-09,94306,1,1
2019-10-09,94402,1,1
2019-10-09,94503,1,1
2019-10-09,94506,1,1
2019-10-09,94507,1,1
2019-10-09,94508,1,1
2019-10-09,94515,1,1
2019-10-09,94516,1,1
2019-10-09,94523,1,1
2019-10-09,94526,1,1
2019-10-09,94530,1,1
2019-10-09,94533,1,1
2019-10-09,94534,1,1
2019-10-09,94536,1,1
2019-10-09,94538,1,1
2019-10-09,94539,1,1
2019-10-09,94541,1,1
2019-10-09,94543,1,1
2019-10-09,94542,1,1
2019-10-09,94546,1,1
2019-10-09,94547,1,1
2019-10-09,94549,1,1
2019-10-09,94550,1,1
2019-10-09,94551,1,1
2019-10-09,94552,1,1
2019-10-09,94556,1,1
2019-10-09,94558,1,1
2019-10-09,94562,1,1
2019-10-09,94559,1,1
2019-10-09,94581,1,1
2019-10-09,94563,1,1
2019-10-09,94564,1,1
2019-10-09,94566,1,1
2019-10-09,94567,1,1
2019-10-09,94572,1,1
2019-10-09,94573,1,1
2019-10-09,94574,1,1
2019-10-09,94575,1,1
2019-10-09,94576,1,1
2019-10-09,94570,1,1
2019-10-09,94582,1,1
